ap_car,ap_cat,ap_chair,ap_dog,ap_person,conf,dqp,map50,name,nms,precision,pred_path,recall,score_path,tta
0.779576,0.922548,0.623829,0.902232,0.852104,ckpt/config,0.0,,dqp0.00_tta0,ckpt/config,,models/checkpoint_sweep/dqp0.00_tta0_predictions.json,,models/checkpoint_sweep/dqp0.00_tta0_score.json,False
0.782294,0.922441,0.624259,0.902529,0.851425,ckpt/config,0.1,,dqp0.10_tta0,ckpt/config,,models/checkpoint_sweep/dqp0.10_tta0_predictions.json,,models/checkpoint_sweep/dqp0.10_tta0_score.json,False
0.782737,0.919967,0.627805,0.902695,0.851734,ckpt/config,0.2,,dqp0.20_tta0,ckpt/config,,models/checkpoint_sweep/dqp0.20_tta0_predictions.json,,models/checkpoint_sweep/dqp0.20_tta0_score.json,False
0.783067,0.919618,0.628369,0.902748,0.851504,ckpt/config,0.25,,dqp0.25_tta0,ckpt/config,,models/checkpoint_sweep/dqp0.25_tta0_predictions.json,,models/checkpoint_sweep/dqp0.25_tta0_score.json,False
0.783607,0.919322,0.628843,0.903559,0.851235,ckpt/config,0.35,,dqp0.35_tta0,ckpt/config,,models/checkpoint_sweep/dqp0.35_tta0_predictions.json,,models/checkpoint_sweep/dqp0.35_tta0_score.json,False
0.785177,0.918262,0.629909,0.904801,0.851186,ckpt/config,0.5,,dqp0.50_tta0,ckpt/config,,models/checkpoint_sweep/dqp0.50_tta0_predictions.json,,models/checkpoint_sweep/dqp0.50_tta0_score.json,False
0.801055,0.916923,0.648179,0.909019,0.856063,ckpt/config,0.0,,dqp0.00_tta1,ckpt/config,,models/checkpoint_sweep/dqp0.00_tta1_predictions.json,,models/checkpoint_sweep/dqp0.00_tta1_score.json,True
0.802426,0.919073,0.649928,0.909093,0.856474,ckpt/config,0.1,,dqp0.10_tta1,ckpt/config,,models/checkpoint_sweep/dqp0.10_tta1_predictions.json,,models/checkpoint_sweep/dqp0.10_tta1_score.json,True
0.802238,0.919053,0.651976,0.909328,0.856195,ckpt/config,0.2,,dqp0.20_tta1,ckpt/config,,models/checkpoint_sweep/dqp0.20_tta1_predictions.json,,models/checkpoint_sweep/dqp0.20_tta1_score.json,True
0.80188,0.91886,0.65154,0.909226,0.857298,ckpt/config,0.25,,dqp0.25_tta1,ckpt/config,,models/checkpoint_sweep/dqp0.25_tta1_predictions.json,,models/checkpoint_sweep/dqp0.25_tta1_score.json,True
0.802247,0.918501,0.652602,0.909314,0.85731,ckpt/config,0.35,,dqp0.35_tta1,ckpt/config,,models/checkpoint_sweep/dqp0.35_tta1_predictions.json,,models/checkpoint_sweep/dqp0.35_tta1_score.json,True
0.80278,0.921094,0.648624,0.908404,0.856875,ckpt/config,0.5,,dqp0.50_tta1,ckpt/config,,models/checkpoint_sweep/dqp0.50_tta1_predictions.json,,models/checkpoint_sweep/dqp0.50_tta1_score.json,True
0.80188,0.91886,0.65154,0.909226,0.857298,0.005,0.25,,conf0.005_dqp025_tta1,ckpt/config,,models/checkpoint_sweep/conf0.005_dqp025_tta1_predictions.json,,models/checkpoint_sweep/conf0.005_dqp025_tta1_score.json,True
0.80188,0.91886,0.65154,0.909226,0.857298,0.01,0.25,,conf0.01_dqp025_tta1,ckpt/config,,models/checkpoint_sweep/conf0.01_dqp025_tta1_predictions.json,,models/checkpoint_sweep/conf0.01_dqp025_tta1_score.json,True
0.80188,0.91886,0.651432,0.908784,0.857298,0.02,0.25,,conf0.02_dqp025_tta1,ckpt/config,,models/checkpoint_sweep/conf0.02_dqp025_tta1_predictions.json,,models/checkpoint_sweep/conf0.02_dqp025_tta1_score.json,True
0.802115,0.916668,0.650769,0.908117,0.856116,0.04,0.25,,conf0.04_dqp025_tta1,ckpt/config,,models/checkpoint_sweep/conf0.04_dqp025_tta1_predictions.json,,models/checkpoint_sweep/conf0.04_dqp025_tta1_score.json,True
0.799715,0.912159,0.648794,0.906214,0.851374,0.08,0.25,,conf0.08_dqp025_tta1,ckpt/config,,models/checkpoint_sweep/conf0.08_dqp025_tta1_predictions.json,,models/checkpoint_sweep/conf0.08_dqp025_tta1_score.json,True
0.796622,0.919448,0.651471,0.909157,0.857762,0.01,0.25,,nms0.45_dqp025_tta1,0.45,,models/checkpoint_sweep/nms0.45_dqp025_tta1_predictions.json,,models/checkpoint_sweep/nms0.45_dqp025_tta1_score.json,True
0.80188,0.91886,0.65154,0.909226,0.857298,0.01,0.25,,nms0.50_dqp025_tta1,0.5,,models/checkpoint_sweep/nms0.50_dqp025_tta1_predictions.json,,models/checkpoint_sweep/nms0.50_dqp025_tta1_score.json,True
0.799414,0.921973,0.647811,0.908129,0.853445,0.01,0.25,,nms0.55_dqp025_tta1,0.55,,models/checkpoint_sweep/nms0.55_dqp025_tta1_predictions.json,,models/checkpoint_sweep/nms0.55_dqp025_tta1_score.json,True
0.80396,0.923659,0.642203,0.909684,0.852187,0.01,0.25,,nms0.60_dqp025_tta1,0.6,,models/checkpoint_sweep/nms0.60_dqp025_tta1_predictions.json,,models/checkpoint_sweep/nms0.60_dqp025_tta1_score.json,True
